Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Домодедово парк,жилой комплекс,Новостройки,"село Домодедово, к1",,142029.0,Домодедово Парк жилой комплекс,,,Домодедово городской округ,Московская область,Россия,,+03:00,84951352127 (офис продаж - пн-вс 9:00-19:00),,,,http://domodedovograd.ru,,,,,,55.474864000000004,37.697206,https://2gis.com/firm/70000001054852398
Лесобережный,жилой комплекс,Новостройки,"ЖК Лесобережный, 3",,,,,,Красногорск городской округ,Московская область,Россия,,+03:00,84959884422 (офис продаж - пн-вс 10:00-20:00),,,,http://www.ndv.ru,,,,,,55.814843,37.213229999999996,https://2gis.com/firm/70000001047839145
Река,жилой комплекс,Новостройки,"улица Лобачевского, 114 /1",,119361.0,,Раменки район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,84952667667,84951546822 (отдел продаж - пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,http://donstroy.com,,,,,,55.691258999999995,37.476907000000004,https://2gis.com/firm/70000001048760172
Переделкино ближнее,жилой комплекс,Новостройки,"улица Бориса Пастернака, к5",,,Переделкино Ближнее м-н,Внуковское поселение,Москва,,Москва,Россия,,+03:00,,,,,http://absrealty.ru,,,,,,55.642222,37.324767,https://2gis.com/firm/70000001056442964
Аквилон инвест истейт,жилой комплекс,Новостройки,"ЖК Аквилон Митино, к3",,143441.0,,Митино район,Москва,,Москва,Россия,,+03:00,84951540849 (отдел продаж - пн-вс 9:00-21:00),84951169291,,,http://akvilon-mitino.ru/?utm_source=2gis_map&utm_medium=affiliate&utm_campaign=akvilon_mitino_2gis_map,,,,,,55.8597,37.378468,https://2gis.com/firm/70000001046502986
ПИК,Жилой комплекс Мичуринский парк,Новостройки,"Озёрная улица, к1/5",,119361.0,,Очаково-Матвеевское район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/mpark?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=michurinskiy,,,,https://vk.com/pikru,,55.66796,37.441781,https://2gis.com/firm/70000001047941767
ФСК,Жилой комплекс Режиссёр,Новостройки,"улица Вильгельма Пика, вл3 к2 стр",,129226.0,,Ростокино район,Москва,,Москва,Россия,,+03:00,84951814913,,,info@fsk-lider.ru,http://fsk.ru/rezhiser?utm_source=2gis&utm_medium=cpm&utm_campaign=mg_rezhiser_static_card_10-2021&utm_content=none&utm_term=card_rezhiser_none,,,,https://vk.com/gk_fsk,https://youtube.com/user/TheFsklider,55.835024,37.639308,https://2gis.com/firm/70000001047563308
Co Loft,,Новостройки,"Серпуховский Вал улица, 7 ст2",,115191.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,84956444244,,,,http://coloft.ru,,,,,,55.710649,37.614518,https://2gis.com/firm/70000001048410833
ПИК,Жилой комплекс Шереметьевский,Новостройки,"Складочная улица, 6 к8",,127018.0,,Марьина Роща район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/sher?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=sheremet,,,,https://vk.com/pikru,,55.801409,37.597464,https://2gis.com/firm/70000001051871970
ПИК,Жилой комплекс Шереметьевский,Новостройки,"Складочная улица, 8 к2",дом сдан,127018.0,,Марьина Роща район,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/sher?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=sheremet,,,,https://vk.com/pikru,,55.803858,37.59765,https://2gis.com/firm/70000001041391278
Лукино-Варино,жилой комплекс,Новостройки,"Заречная, 16",,141137.0,Лукино-Варино жилой комплекс,,,Лосино-Петровский городской округ,Московская область,Россия,,+03:00,84952150022 (единый номер - пн-вс 9:00-20:00),,,,http://www.su22.ru,,,,https://vk.com/gksu22,https://youtube.com/channel/UC68wN8j1rM6pbjcbyyNtyDQ,55.89916899999999,38.154284999999994,https://2gis.com/firm/70000001035615245
Символ,жилой комплекс,Новостройки,"Золоторожский Вал улица, вл11 к30",,111033.0,,Лефортово район,Москва,,Москва,Россия,,+03:00,"84951544392 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)","84956688897 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)",,,http://donstroy.moscow/objects/simvol?utm_source=2Gis&utm_medium=cpm&utm_campaign=SIM-2022&utm_term=kartochka_simvol&utm_content=semeynyye_kvartiry,http://jivo.chat/qYxYNkYoqP,,,https://vk.com/dsinv,,55.750656000000006,37.696135,https://2gis.com/firm/70000001057342983
Символ,жилой комплекс,Новостройки,"Золоторожский Вал улица, вл11 к25",,111033.0,,Лефортово район,Москва,,Москва,Россия,,+03:00,"84951544392 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)","84956688897 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)",,,http://donstroy.moscow/objects/simvol?utm_source=2Gis&utm_medium=cpm&utm_campaign=SIM-2022&utm_term=kartochka_simvol&utm_content=semeynyye_kvartiry,http://jivo.chat/qYxYNkYoqP,,,https://vk.com/dsinv,,55.749615000000006,37.689608,https://2gis.com/firm/70000001057616416
Символ,жилой комплекс,Новостройки,"Золоторожский Вал улица, к28",,111033.0,,Лефортово район,Москва,,Москва,Россия,,+03:00,"84951544392 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)","84956688897 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)",,,http://donstroy.moscow/objects/simvol?utm_source=2Gis&utm_medium=cpm&utm_campaign=SIM-2022&utm_term=kartochka_simvol&utm_content=semeynyye_kvartiry,http://jivo.chat/qYxYNkYoqP,,,https://vk.com/dsinv,,55.751959,37.692034,https://2gis.com/firm/70000001062121906
Символ,жилой комплекс,Новостройки,"Золоторожский Вал улица, к30",,111033.0,,Лефортово район,Москва,,Москва,Россия,,+03:00,"84951544392 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)","84956688897 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)",,,http://donstroy.moscow/objects/simvol?utm_source=2Gis&utm_medium=cpm&utm_campaign=SIM-2022&utm_term=kartochka_simvol&utm_content=semeynyye_kvartiry,http://jivo.chat/qYxYNkYoqP,,,https://vk.com/dsinv,,55.752508999999996,37.68952,https://2gis.com/firm/70000001062121924
Символ,жилой комплекс,Новостройки,"Золоторожский Вал улица, к29",,111033.0,,Лефортово район,Москва,,Москва,Россия,,+03:00,"84951544392 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)","84956688897 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)",,,http://donstroy.moscow/objects/simvol?utm_source=2Gis&utm_medium=cpm&utm_campaign=SIM-2022&utm_term=kartochka_simvol&utm_content=semeynyye_kvartiry,http://jivo.chat/qYxYNkYoqP,,,https://vk.com/dsinv,,55.751554000000006,37.690016,https://2gis.com/firm/70000001062121939
Headliner,жилой комплекс,Новостройки,"Шмитовский проезд, вл39 к4",,123290.0,,Пресненский район,Москва,,Москва,Россия,,+03:00,84959339929,,,,http://head-liner.ru,,,,https://vk.com/zhkheadliner,,55.754768999999996,37.525901,https://2gis.com/firm/70000001046865744
Метрополия,строящийся жилой комплекс,Новостройки,"Волгоградский проспект, вл32 к2 стр",,109316.0,,Южнопортовый район,Москва,,Москва,Россия,,+03:00,84951812135 (отдел продаж - пн-вс 9:00-21:00),,,,http://metropolia-kvartal.ru,,,,,,55.72008100000001,37.691091,https://2gis.com/firm/70000001044219177
Метрополия,строящийся жилой комплекс,Новостройки,"Волгоградский проспект, вл32/5 к1/1",,109316.0,,Южнопортовый район,Москва,,Москва,Россия,,+03:00,84951812135 (отдел продаж - пн-вс 9:00-21:00),,,,http://metropolia-kvartal.ru,,,,,,55.720406000000004,37.688259,https://2gis.com/firm/70000001063544620
Метрополия,строящийся жилой комплекс,Новостройки,"Волгоградский проспект, вл32/5 к3/3",,109316.0,,Южнопортовый район,Москва,,Москва,Россия,,+03:00,84951812135 (отдел продаж - пн-вс 9:00-21:00),,,,http://metropolia-kvartal.ru,,,,,,55.719947,37.689071000000006,https://2gis.com/firm/70000001063544652
Метрополия,строящийся жилой комплекс,Новостройки,"Волгоградский проспект, вл32/5 к4",,109316.0,,Южнопортовый район,Москва,,Москва,Россия,,+03:00,84951812135 (отдел продаж - пн-вс 9:00-21:00),,,,http://metropolia-kvartal.ru,,,,,,55.719745999999994,37.689688000000004,https://2gis.com/firm/70000001063544665
Метрополия,строящийся жилой комплекс,Новостройки,"Волгоградский проспект, вл32/5 к3",,109316.0,,Южнопортовый район,Москва,,Москва,Россия,,+03:00,84951812135 (отдел продаж - пн-вс 9:00-21:00),,,,http://metropolia-kvartal.ru,,,,,,55.719595999999996,37.690141,https://2gis.com/firm/70000001063544696
Метрополия,строящийся жилой комплекс,Новостройки,"Волгоградский проспект, вл32/5 к2/2",,109316.0,,Южнопортовый район,Москва,,Москва,Россия,,+03:00,84951812135 (отдел продаж - пн-вс 9:00-21:00),,,,http://metropolia-kvartal.ru,,,,,,55.72017099999999,37.6887,https://2gis.com/firm/70000001063544768
Lucky,жилой комплекс,Новостройки,"Звенигородская 2-я улица, вл12 к5",,123100.0,,Пресненский район,Москва,,Москва,Россия,,+03:00,84950212577 (отдел продаж - пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://www.lucky.ru/?utm_source=2gis&utm_medium=banner&utm_campaign=m108&utm_content=spec_all,,,,,,55.76115,37.556627,https://2gis.com/firm/70000001044034939
Now,жилой комплекс,Новостройки,"проспект Лихачёва, 10 к3",,115432.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,,,,,http://now-kvartal.ru,,,,,,55.691102,37.656417,https://2gis.com/firm/70000001040423948
Now,жилой комплекс,Новостройки,"проспект Лихачёва, 16 к2",Дом сдан,115432.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,,,,,http://now-kvartal.ru,,,,,,55.68974300000001,37.65419,https://2gis.com/firm/70000001041387956
Now,жилой комплекс,Новостройки,"проспект Лихачёва, 16 к3",Дом сдан,115432.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,,,,,http://now-kvartal.ru,,,,,,55.68945,37.653690000000005,https://2gis.com/firm/70000001041387957
Now,жилой комплекс,Новостройки,"Проектируемый 4062-й проезд, к1.2",,115432.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,,,,,http://now-kvartal.ru,,,,,,55.687736,37.652315,https://2gis.com/firm/70000001056071785
Now,жилой комплекс,Новостройки,"Проектируемый 4062-й проезд, к1.1",,115432.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,,,,,http://now-kvartal.ru,,,,,,55.688129,37.651509000000004,https://2gis.com/firm/70000001056071803
